id_province,name_province,created_date,updated_date
﻿XSHCM - 12A7,TP. HCM,2022-12-03,9999-12-31
﻿XSLA - 12K1,Long An,2022-12-03,9999-12-31
﻿XSBP - 12K1-N22,Bình Phước,2022-12-03,9999-12-31
﻿XSHG - K1T12,Hậu Giang,2022-12-03,9999-12-31
