natural_key,id_province,id_prize,number,status,created_date,updated_date
﻿05ca87e5-00cb-4265-98d9-3b986d7c6a81,XSTG - TG-D12,giai8,"	44",ER,6568,9999-12-31
﻿2dec3687-e50c-4f6b-9a63-fe1608e7c55b,XSTG - TG-D12,giai7,"	948",ER,6568,9999-12-31
﻿7cd5106f-297e-42cf-b48a-cc9be2e9856a,XSTG - TG-D12,giai6,"	3806",ER,6568,9999-12-31
﻿706370f2-8676-41f3-ad55-0a034483fa99,XSTG - TG-D12,giai6,"	7361",ER,6568,9999-12-31
﻿f13ae727-8567-4432-9de9-af5a7eaab4c8,XSTG - TG-D12,giai6,"	2726",ER,6568,9999-12-31
﻿80a619ef-526a-446c-bb65-a90949af0bce,XSTG - TG-D12,giai5,"	2287",ER,6568,9999-12-31
﻿1978f524-06ad-43c0-82bb-95760738a19f,XSTG - TG-D12,giai4,"	50659",ER,6568,9999-12-31
﻿2b178d50-3fea-4122-b47c-a18972b34aaa,XSTG - TG-D12,giai4,"	70845",ER,6568,9999-12-31
﻿69550272-76bc-4d83-84a0-73a98a545098,XSTG - TG-D12,giai4,"	73490",ER,6568,9999-12-31
﻿cb70c014-f862-4418-98c9-ebcc6a66ec2e,XSTG - TG-D12,giai4,"	58863",ER,6568,9999-12-31
﻿a7671bcc-84df-41bb-9d48-f02a4e07b1ce,XSTG - TG-D12,giai4,"	87787",ER,6568,9999-12-31
﻿f1f0cb4c-bfd0-4afd-a633-38ec7dd07295,XSTG - TG-D12,giai4,"	95345",ER,6568,9999-12-31
﻿0f3efbd8-4d13-4360-955d-598193fd31e3,XSTG - TG-D12,giai4,"	00057",ER,6568,9999-12-31
﻿338dcfc7-2185-4fa3-bd67-9b0704d192ff,XSTG - TG-D12,giai3,"	83337",ER,6568,9999-12-31
﻿b6e90203-0b2a-4c03-ac33-dfba40a1c25f,XSTG - TG-D12,giai3,"	71109",ER,6568,9999-12-31
﻿83d6031c-0eb8-45ad-9b1b-943e0962f160,XSTG - TG-D12,giai2,"	87240",ER,6568,9999-12-31
﻿5635e61b-aa59-4202-8fb7-fe29fe6d5d00,XSTG - TG-D12,giai1,"	04338",ER,6568,9999-12-31
﻿df6f1d08-3a2d-4c85-b15c-21b860f3ef93,XSTG - TG-D12,giaidb,"	837069",ER,6568,9999-12-31
﻿3eeec3ea-9290-41a2-9e9b-8d2d0b659279,XSKG - 12K4,giai8,"	25",ER,6568,9999-12-31
﻿0cc8a1e7-cfdd-40ec-be6e-eeded85fcd25,XSKG - 12K4,giai7,"	674",ER,6568,9999-12-31
﻿db2ec8c9-d735-421d-8e8b-4e6c08948a45,XSKG - 12K4,giai6,"	9488",ER,6568,9999-12-31
﻿99f8b801-dcf4-470e-8a93-a07298c65418,XSKG - 12K4,giai6,"	9551",ER,6568,9999-12-31
﻿f9a1f5be-1b88-4ae8-a03b-85e3c72cb9e7,XSKG - 12K4,giai6,"	0754",ER,6568,9999-12-31
﻿c2db57f8-4422-4842-a3ab-40f14e0d99f8,XSKG - 12K4,giai5,"	9479",ER,6568,9999-12-31
﻿7465f4a6-a296-438f-a936-f23e0aee18de,XSKG - 12K4,giai4,"	44154",ER,6568,9999-12-31
﻿90f33cbe-dd83-4e02-899d-c215052ffa81,XSKG - 12K4,giai4,"	16230",ER,6568,9999-12-31
﻿ab684cd3-0bcf-4cb9-b383-b7882aa95747,XSKG - 12K4,giai4,"	79035",ER,6568,9999-12-31
﻿7ea46e83-685c-4460-9623-171779dc9daa,XSKG - 12K4,giai4,"	69626",ER,6568,9999-12-31
﻿da27f443-6fe9-451b-90c6-a3b666703dd1,XSKG - 12K4,giai4,"	95137",ER,6568,9999-12-31
﻿267bf3ca-e1e1-4fe3-afc3-8ed766930a79,XSKG - 12K4,giai4,"	80189",ER,6568,9999-12-31
﻿b9da1832-4469-4768-93b9-4a43d8cf3c9b,XSKG - 12K4,giai4,"	87317",ER,6568,9999-12-31
﻿a171f6ea-fc18-4e1d-bcae-40ea63770e87,XSKG - 12K4,giai3,"	92586",ER,6568,9999-12-31
﻿ab30b3fc-ec8d-4a0d-a9da-7b441bcbfc0d,XSKG - 12K4,giai3,"	59327",ER,6568,9999-12-31
﻿c4f3abe6-1d87-421d-90b7-79d0d6044764,XSKG - 12K4,giai2,"	55393",ER,6568,9999-12-31
﻿56f2d201-3a86-4c1e-8031-27cca4be1226,XSKG - 12K4,giai1,"	28866",ER,6568,9999-12-31
﻿3af99d87-a412-4e45-8c41-732576ef4431,XSKG - 12K4,giaidb,"	845155",ER,6568,9999-12-31
﻿d421c12b-8118-4269-805c-b1acf8e3eac5,XSDL - ĐL12K4,giai8,"	00",ER,6568,9999-12-31
﻿32aa7290-341c-46e4-9b05-463ce9ce75b7,XSDL - ĐL12K4,giai7,"	725",ER,6568,9999-12-31
﻿1c934c7e-1fb6-4d4c-96e1-b4e520c65953,XSDL - ĐL12K4,giai6,"	6448",ER,6568,9999-12-31
﻿69ec0abf-b0fc-42d2-9bb7-5d90e2fd6fec,XSDL - ĐL12K4,giai6,"	3235",ER,6568,9999-12-31
﻿92263c8b-7cd1-424d-a998-53954a939253,XSDL - ĐL12K4,giai6,"	1866",ER,6568,9999-12-31
﻿407f9049-9208-43da-aeda-7da892645e2f,XSDL - ĐL12K4,giai5,"	8415",ER,6568,9999-12-31
﻿825eebbc-56fb-4861-9546-13b85861b1f2,XSDL - ĐL12K4,giai4,"	80706",ER,6568,9999-12-31
﻿d4232952-71cc-468b-90ff-709e202ebcc5,XSDL - ĐL12K4,giai4,"	47574",ER,6568,9999-12-31
﻿963a94ee-af70-47f2-9ae1-00bef349904e,XSDL - ĐL12K4,giai4,"	52326",ER,6568,9999-12-31
﻿bc10a0b3-ddde-4cfd-8a02-d0a10c1430d8,XSDL - ĐL12K4,giai4,"	50589",ER,6568,9999-12-31
﻿3d9768cb-6c7a-435f-ad99-01dc1f5140e9,XSDL - ĐL12K4,giai4,"	44032",ER,6568,9999-12-31
﻿7e26fde9-dc90-4955-b375-3b7ac346b5fe,XSDL - ĐL12K4,giai4,"	17328",ER,6568,9999-12-31
﻿d2757163-ed67-47be-ac5d-77840a03e1e4,XSDL - ĐL12K4,giai4,"	35458",ER,6568,9999-12-31
﻿8c5d68ea-f814-4617-a54b-379e72811a26,XSDL - ĐL12K4,giai3,"	80172",ER,6568,9999-12-31
﻿db86521b-c527-4f78-9444-2d7c9b85498c,XSDL - ĐL12K4,giai3,"	14721",ER,6568,9999-12-31
﻿625b4b70-7fd2-4312-9007-043056f467e3,XSDL - ĐL12K4,giai2,"	44364",ER,6568,9999-12-31
﻿69bf4f2b-59f7-4865-bf93-1f560a8fd035,XSDL - ĐL12K4,giai1,"	42088",ER,6568,9999-12-31
﻿a0d8a07f-0ea9-4560-9f82-a81e34837126,XSDL - ĐL12K4,giaidb,"	263503",ER,6568,9999-12-31
