id_province,name_province,created_date,updated_date
﻿XSTG - TG-D12,Tiền Giang,2022-12-25,9999-12-31
﻿XSKG - 12K4,Kiên Giang,2022-12-25,9999-12-31
﻿XSDL - ĐL12K4,Đà Lạt,2022-12-25,9999-12-31
