id_province,name_province,created_date,updated_date
﻿XSHCM - 10F2,TP. HCM,2022-10-31,9999-12-31
﻿XSDT - L44,Đồng Tháp,2022-10-31,9999-12-31
﻿XSCM - 22-T10K5,Cà Mau,2022-10-31,9999-12-31
