id_province,name_province,created_date,updated_date
﻿XSTN - 11K3,Tây Ninh,2022-11-17,9999-12-31
﻿XSAG - AG-11K3,An Giang,2022-11-17,9999-12-31
﻿XSBTH - 11K3,Bình Thuận,2022-11-17,9999-12-31
