id_province,name_province,created_date,updated_date
﻿XSDN - 10K3,Đồng Nai,2022-10-19,9999-12-31
﻿XSCT - K3T10,Cần Thơ,2022-10-19,9999-12-31
﻿XSST - T10K3,Sóc Trăng,2022-10-19,9999-12-31
