id_province,name_province,created_date,updated_date
﻿XSDN - 11K3,Đồng Nai,2022-11-16,9999-12-31
﻿XSCT - K3T11,Cần Thơ,2022-11-16,9999-12-31
﻿XSST - T11K3,Sóc Trăng,2022-11-16,9999-12-31
