natural_key,id_province,id_prize,number,status,created_date,updated_date
﻿fa20dab1-d352-4da5-be93-0b890ee8d76f,XSDN - 11K3,giai8,91,ER,6529,9999-12-31
﻿e4d37c65-6b7b-4e6b-971d-ba459ced932c,XSDN - 11K3,giai7,122,ER,6529,9999-12-31
﻿8bc8983d-0897-48cb-83ce-6f39473225ad,XSDN - 11K3,giai6,6962,ER,6529,9999-12-31
﻿67c4d558-b613-4b0d-950b-2c0634e3c16f,XSDN - 11K3,giai6,3140,ER,6529,9999-12-31
﻿18b98950-988c-4d88-b32e-de9c2535701f,XSDN - 11K3,giai6,7102,ER,6529,9999-12-31
﻿3ef82746-8b9c-4eeb-a26e-e66ac84ae48c,XSDN - 11K3,giai5,0457,ER,6529,9999-12-31
﻿4ec8aa35-2452-4438-80cf-8c9673e31c9c,XSDN - 11K3,giai4,06626,ER,6529,9999-12-31
﻿0ae67ab6-6f13-4e60-8b1e-e7b957a8626a,XSDN - 11K3,giai4,71459,ER,6529,9999-12-31
﻿e3b8b63f-a90e-43af-91d7-fd1745597c54,XSDN - 11K3,giai4,44390,ER,6529,9999-12-31
﻿7b468b5f-4e22-4c01-bb31-f43cdfd2f339,XSDN - 11K3,giai4,79043,ER,6529,9999-12-31
﻿c2ee8f47-fd16-4212-a9b9-b11b116e3b39,XSDN - 11K3,giai4,46111,ER,6529,9999-12-31
﻿39cfefd3-9d6b-40ee-9ada-01ad8db92498,XSDN - 11K3,giai4,00841,ER,6529,9999-12-31
﻿8e9bfae8-fb71-40d9-ab5a-c98503ccfe33,XSDN - 11K3,giai4,55145,ER,6529,9999-12-31
﻿04a9601a-9216-4cdd-a39f-95299a6cfa71,XSDN - 11K3,giai3,40626,ER,6529,9999-12-31
﻿c8f60e82-d7fe-470d-a5b8-d4c09903c315,XSDN - 11K3,giai3,86840,ER,6529,9999-12-31
﻿3a6a745b-7a0f-4702-9416-b7c19dabb6d4,XSDN - 11K3,giai2,12249,ER,6529,9999-12-31
﻿0f1632de-89e6-44dd-ae97-a067a4d018f9,XSDN - 11K3,giai1,45806,ER,6529,9999-12-31
﻿9b1303c9-e513-4f7a-9138-2d35032c44c3,XSDN - 11K3,giaidb,438889,ER,6529,9999-12-31
﻿fbbc4c1e-63c1-4c48-b696-c48e8198f0b1,XSCT - K3T11,giai8,91,ER,6529,9999-12-31
﻿b4b10041-01f5-46d6-b6f8-44955b8337c2,XSCT - K3T11,giai7,749,ER,6529,9999-12-31
﻿8e282e46-12fc-4a1c-ab34-e5c6bad05ede,XSCT - K3T11,giai6,0830,ER,6529,9999-12-31
﻿e6816a9a-8845-4974-92ae-d898ec392966,XSCT - K3T11,giai6,5638,ER,6529,9999-12-31
﻿6ff9d14e-877f-4d9d-b0a6-3c4f38fba6c2,XSCT - K3T11,giai6,4402,ER,6529,9999-12-31
﻿512b2312-792f-4a3e-bdd9-1035d6651d4d,XSCT - K3T11,giai5,4719,ER,6529,9999-12-31
﻿c631c912-c589-4056-940e-ff4db4b26dd4,XSCT - K3T11,giai4,96387,ER,6529,9999-12-31
﻿f2815d95-0e90-45c2-bded-1e8ea44b42da,XSCT - K3T11,giai4,87236,ER,6529,9999-12-31
﻿e2f7befd-2912-48e4-923f-02ac75d70663,XSCT - K3T11,giai4,63899,ER,6529,9999-12-31
﻿e76203c5-91ab-456d-89b2-0c68e334b925,XSCT - K3T11,giai4,96654,ER,6529,9999-12-31
﻿916017cd-6d3b-4b91-af51-f5f5f95be128,XSCT - K3T11,giai4,64180,ER,6529,9999-12-31
﻿d540cc66-d047-4fd4-b4a4-c02f201843b5,XSCT - K3T11,giai4,49366,ER,6529,9999-12-31
﻿9b999324-8ed2-4895-a16a-b15b07c9cb90,XSCT - K3T11,giai4,40940,ER,6529,9999-12-31
﻿1028d91d-d86a-46b2-adf7-794595b0f5a2,XSCT - K3T11,giai3,88254,ER,6529,9999-12-31
﻿3994d0b8-8757-47f2-b1ea-446cbdacc700,XSCT - K3T11,giai3,02223,ER,6529,9999-12-31
﻿cd020450-819e-4e20-a121-e91c89bdbdc0,XSCT - K3T11,giai2,93341,ER,6529,9999-12-31
﻿19a2c59e-666f-43cc-957a-4b3e7776f905,XSCT - K3T11,giai1,54507,ER,6529,9999-12-31
﻿a844c932-5a89-417f-999c-76687c686e8c,XSCT - K3T11,giaidb,773544,ER,6529,9999-12-31
﻿0c9140a3-f116-41bb-89f5-a2609a1c0393,XSST - T11K3,giai8,01,ER,6529,9999-12-31
﻿6c7feb3c-0547-4b9e-b3f2-f1b151fd9b3b,XSST - T11K3,giai7,394,ER,6529,9999-12-31
﻿9ff531f9-a1bc-4b1a-9b8f-c4bc4661430e,XSST - T11K3,giai6,7741,ER,6529,9999-12-31
﻿99317ce0-8d60-4e63-9f50-74488fe44dea,XSST - T11K3,giai6,4693,ER,6529,9999-12-31
﻿af61bb17-7b95-4484-9929-ecddff384fab,XSST - T11K3,giai6,8140,ER,6529,9999-12-31
﻿6a7b2c94-96d1-4ca8-b9a4-a52efe4b6862,XSST - T11K3,giai5,5463,ER,6529,9999-12-31
﻿f6b0c020-c0ef-41ac-a9d1-c99c35269706,XSST - T11K3,giai4,65784,ER,6529,9999-12-31
﻿ad453423-edf0-4207-88af-4665df665a7a,XSST - T11K3,giai4,86876,ER,6529,9999-12-31
﻿24d9a242-30d8-4a43-aae6-e33e1eee3d02,XSST - T11K3,giai4,77737,ER,6529,9999-12-31
﻿1ada201e-206e-4919-96a9-93c343eebb72,XSST - T11K3,giai4,70501,ER,6529,9999-12-31
﻿e3dce1be-e9a4-45a2-8fda-8e604aa14554,XSST - T11K3,giai4,41637,ER,6529,9999-12-31
﻿27dfe4db-f2d8-410e-b103-98e388d8a6d1,XSST - T11K3,giai4,12234,ER,6529,9999-12-31
﻿c56ad144-9d3f-4ce1-b213-724b463fb903,XSST - T11K3,giai4,73935,ER,6529,9999-12-31
﻿e6a212a5-e82f-4f4a-98e1-c222883d42a3,XSST - T11K3,giai3,70703,ER,6529,9999-12-31
﻿6b675c78-f989-4819-9339-ce2f94869997,XSST - T11K3,giai3,53211,ER,6529,9999-12-31
﻿f658f218-0b2f-433a-bf51-df6f290efc83,XSST - T11K3,giai2,20708,ER,6529,9999-12-31
﻿64ea98fe-d361-438a-bd28-257d97b34a55,XSST - T11K3,giai1,69778,ER,6529,9999-12-31
﻿b934177d-366a-4459-a74a-c621ad7e53d4,XSST - T11K3,giaidb,289076,ER,6529,9999-12-31
