id_province,name_province,created_date,updated_date
﻿XSBTR - K44-T11,Bến Tre,2022-11-01,9999-12-31
﻿XSVT - 11A,Vũng Tàu,2022-11-01,9999-12-31
﻿XSBL - T11-K1,Bạc Liêu,2022-11-01,9999-12-31
