natural_key,id_province,id_prize,number,status,created_date,updated_date
﻿d445fe21-8d0a-403d-bc81-1b533e917042,XSVL - 43VL48,giai8,"	03",ER,6545,9999-12-31
﻿a895f41b-b673-4769-ac8f-4e481049da76,XSVL - 43VL48,giai7,"	314",ER,6545,9999-12-31
﻿f07337fe-7222-450f-ae9e-fdb28b7e22d9,XSVL - 43VL48,giai6,"	7570",ER,6545,9999-12-31
﻿df6b5713-c600-49f2-9b73-e244f7cd5992,XSVL - 43VL48,giai6,"	8705",ER,6545,9999-12-31
﻿6430cfd8-ecf2-4260-bbd5-36258cd637b6,XSVL - 43VL48,giai6,"	2863",ER,6545,9999-12-31
﻿32d13946-505f-49b8-b22c-0e8118d764ae,XSVL - 43VL48,giai5,"	8111",ER,6545,9999-12-31
﻿08dedf9d-9cf1-4b13-897e-2e688c9bdd13,XSVL - 43VL48,giai4,"	37912",ER,6545,9999-12-31
﻿d441a3bf-99f4-46c0-bb03-8e7fcb332ffa,XSVL - 43VL48,giai4,"	83910",ER,6545,9999-12-31
﻿50a1020c-0886-4436-9faf-f3694f93507b,XSVL - 43VL48,giai4,"	42601",ER,6545,9999-12-31
﻿c23ae08c-a37a-4b19-8f15-41b3cbb8081b,XSVL - 43VL48,giai4,"	34299",ER,6545,9999-12-31
﻿2b17729b-540c-4eb5-b32d-dc558e647449,XSVL - 43VL48,giai4,"	67601",ER,6545,9999-12-31
﻿5409b447-61da-4e2e-bdb8-9e93e396f5ed,XSVL - 43VL48,giai4,"	22689",ER,6545,9999-12-31
﻿4ed90824-b53d-4e38-a3d8-526411398152,XSVL - 43VL48,giai4,"	46856",ER,6545,9999-12-31
﻿520858bc-6170-4522-9c3f-ee8fd21c44c0,XSVL - 43VL48,giai3,"	05665",ER,6545,9999-12-31
﻿8150f37b-6f22-4b42-bfe7-5e92f769077c,XSVL - 43VL48,giai3,"	03179",ER,6545,9999-12-31
﻿fe91f55f-4394-492f-a7bd-1351fb901093,XSVL - 43VL48,giai2,"	59784",ER,6545,9999-12-31
﻿c6f9efdb-b73a-49b6-9466-0404265218e0,XSVL - 43VL48,giai1,"	77336",ER,6545,9999-12-31
﻿2db9006d-6289-42a8-a64e-e9b38671f08a,XSVL - 43VL48,giaidb,"	798559",ER,6545,9999-12-31
﻿d7c77c45-bafe-45a7-8adf-04103fafdc6d,XSBD - 12K48,giai8,"	24",ER,6545,9999-12-31
﻿dc44e3ac-6ff6-4401-bee7-83bcb20423c3,XSBD - 12K48,giai7,"	761",ER,6545,9999-12-31
﻿5c33d361-5d93-44f4-a746-f1178ef7c5ba,XSBD - 12K48,giai6,"	5175",ER,6545,9999-12-31
