id_province,name_province,created_date,updated_date
﻿XSVL - 43VL48,Vĩnh Long,2022-12-02,9999-12-31
﻿XSBD - 12K48,Bình Dương,2022-12-02,9999-12-31
﻿XSTV - 31TV48,Trà Vinh,2022-12-02,9999-12-31
