natural_key,id_province,id_prize,number,status,created_date,updated_date
﻿672d207d-d1e5-473c-b2e5-25a5346066db,XSTG - TG-E10,giai8,13,ER,6512,9999-12-31
﻿c5363d6f-f7a0-41f4-a6fd-01b713b25dee,XSTG - TG-E10,giai7,849,ER,6512,9999-12-31
﻿582407ff-e808-4a3c-a21d-0611e867d635,XSTG - TG-E10,giai6,6529,ER,6512,9999-12-31
﻿f7272c92-8bb7-4ba3-a1f3-875c1a69f174,XSTG - TG-E10,giai6,8025,ER,6512,9999-12-31
﻿3b4d9f6c-548a-4dc0-a546-debf1c266282,XSTG - TG-E10,giai6,9785,ER,6512,9999-12-31
﻿e1bb2196-923c-41fd-85d7-2aca9d47e590,XSTG - TG-E10,giai5,8022,ER,6512,9999-12-31
﻿4cd679ea-68bc-4fbb-92b8-e0978ec7922e,XSTG - TG-E10,giai4,46334,ER,6512,9999-12-31
﻿44744f06-2e80-4c02-954e-d4eff9b3a123,XSTG - TG-E10,giai4,01970,ER,6512,9999-12-31
﻿f3a1711b-524a-4b3a-962b-b7dce64f7d83,XSTG - TG-E10,giai4,24887,ER,6512,9999-12-31
﻿90eddda4-26a4-479f-b4b7-57ddac8f870a,XSTG - TG-E10,giai4,04026,ER,6512,9999-12-31
﻿c2fb6b1e-b6a6-489e-bc21-1fa5ea428128,XSTG - TG-E10,giai4,59898,ER,6512,9999-12-31
﻿02133e09-e001-477b-9775-bd105879bc8f,XSTG - TG-E10,giai4,21561,ER,6512,9999-12-31
﻿3af6024e-2d74-46bf-b5e8-e2aa0913c75f,XSTG - TG-E10,giai4,49509,ER,6512,9999-12-31
﻿daf3ac1f-77a8-4f86-9a38-eb1142de92f9,XSTG - TG-E10,giai3,50871,ER,6512,9999-12-31
﻿bb366738-37d1-4c0b-aa54-16f97d4dc1ba,XSTG - TG-E10,giai3,71838,ER,6512,9999-12-31
﻿1777ef34-ee79-4a0a-bb15-295e539d1efb,XSTG - TG-E10,giai2,72803,ER,6512,9999-12-31
﻿f54efae9-90cf-4fb3-9fd9-1028dd454412,XSTG - TG-E10,giai1,42402,ER,6512,9999-12-31
﻿74b25ad7-2c63-4aa9-a9d3-5dc86af19425,XSTG - TG-E10,giaidb,864379,ER,6512,9999-12-31
﻿f0d08aad-892d-410b-a512-c08281e281d4,XSKG - 10K5,giai8,90,ER,6512,9999-12-31
﻿7b876358-c164-468e-8b00-40c1eb3f9d2d,XSKG - 10K5,giai7,280,ER,6512,9999-12-31
﻿f6f0f81a-556f-4a8f-bbdc-4b24d7381d1d,XSKG - 10K5,giai6,1327,ER,6512,9999-12-31
﻿4a1a7932-1151-4a01-90f6-d3c77af7e2fa,XSKG - 10K5,giai6,0796,ER,6512,9999-12-31
﻿2586b809-0d4f-4f77-8b6d-161f5d3cd625,XSKG - 10K5,giai6,6042,ER,6512,9999-12-31
﻿7affeb34-8714-4b84-b561-4cdaae792cef,XSKG - 10K5,giai5,4864,ER,6512,9999-12-31
﻿6be22d98-f2d6-4357-992c-e5bcc913e462,XSKG - 10K5,giai4,51763,ER,6512,9999-12-31
﻿23bb5600-d2ac-4fa6-9575-4d10a43529db,XSKG - 10K5,giai4,89018,ER,6512,9999-12-31
﻿ff47e0eb-ef8d-4352-9405-abd44118e76f,XSKG - 10K5,giai4,76844,ER,6512,9999-12-31
﻿796e5be2-148c-4048-b9b7-ecd3951503a9,XSKG - 10K5,giai4,78479,ER,6512,9999-12-31
﻿14303fa1-f2de-4d06-bb34-a16b0ee5c897,XSKG - 10K5,giai4,42635,ER,6512,9999-12-31
﻿0dac618e-64c9-4577-ab2f-33fb7057b526,XSKG - 10K5,giai4,50616,ER,6512,9999-12-31
﻿17f3b753-48d0-4e44-b251-3277e4692bde,XSKG - 10K5,giai4,82915,ER,6512,9999-12-31
﻿9cda0fcf-bc7a-4956-b4b5-1ede95c1a059,XSKG - 10K5,giai3,61403,ER,6512,9999-12-31
﻿c9003852-007a-4900-b70d-e97e4d43321e,XSKG - 10K5,giai3,97394,ER,6512,9999-12-31
﻿b6227c47-10e6-4f1e-a102-828d69e2a168,XSKG - 10K5,giai2,24146,ER,6512,9999-12-31
﻿7b4bdd84-ce19-4863-b332-e31c0b5c549a,XSKG - 10K5,giai1,44948,ER,6512,9999-12-31
﻿be859edd-ecf4-48fe-a8c8-5faf2c506703,XSKG - 10K5,giaidb,556519,ER,6512,9999-12-31
﻿64832376-fa47-439e-8108-0295e6747809,XSDL - ĐL10K5,giai8,89,ER,6512,9999-12-31
﻿4305f662-913a-4765-807d-321d4a1f7265,XSDL - ĐL10K5,giai7,834,ER,6512,9999-12-31
﻿e18c4d95-b191-420c-8dfb-e1174adcb0a2,XSDL - ĐL10K5,giai6,7043,ER,6512,9999-12-31
﻿95a9588c-67db-4aee-93ba-c0a978fb94f7,XSDL - ĐL10K5,giai6,3947,ER,6512,9999-12-31
﻿584b9fc3-3c66-463c-b0ff-a36822735fd9,XSDL - ĐL10K5,giai6,4668,ER,6512,9999-12-31
﻿b84f7414-49d7-4c44-a156-646d9057f70b,XSDL - ĐL10K5,giai5,2084,ER,6512,9999-12-31
﻿726cc47a-d3ab-4345-9f82-55ada696d76f,XSDL - ĐL10K5,giai4,53029,ER,6512,9999-12-31
﻿0bfefa63-a140-4977-a8e0-7f820efd6558,XSDL - ĐL10K5,giai4,74725,ER,6512,9999-12-31
﻿826ecaca-23de-4aac-b132-223064673ab4,XSDL - ĐL10K5,giai4,81057,ER,6512,9999-12-31
﻿2e793c1d-7671-4fee-ae92-eb890b02b453,XSDL - ĐL10K5,giai4,35075,ER,6512,9999-12-31
﻿c11b1607-30d8-4d6e-a64e-c5927d9a584d,XSDL - ĐL10K5,giai4,15938,ER,6512,9999-12-31
﻿c805ef77-7ec2-41b5-b4c2-c35795fdf81f,XSDL - ĐL10K5,giai4,41622,ER,6512,9999-12-31
﻿56d92e64-ab3e-4e9c-b030-57f6f4049a31,XSDL - ĐL10K5,giai4,36535,ER,6512,9999-12-31
