id_province,name_province,created_date,updated_date
﻿XSTG - TG-E10,Tiền Giang,2022-10-30,9999-12-31
﻿XSKG - 10K5,Kiên Giang,2022-10-30,9999-12-31
﻿XSDL - ĐL10K5,Đà Lạt,2022-10-30,9999-12-31
